timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-01,29233.20000000,29320.00000000,29215.93000000,29292.94000000,29233.20000000,29320.00000000,29215.93000000,29292.94000000,1281.33674000,1281.33674000
2023-04-30,28465.36000000,31000.00000000,26942.82000000,29233.21000000,28465.36000000,31000.00000000,26942.82000000,29233.21000000,1626745.55850000,1626745.55850000
2023-03-31,23141.57000000,29184.68000000,19549.09000000,28465.36000000,23141.57000000,29184.68000000,19549.09000000,28465.36000000,9516189.35846000,9516189.35846000
2023-02-28,23125.13000000,25250.00000000,21351.07000000,23141.57000000,23125.13000000,25250.00000000,21351.07000000,23141.57000000,8642691.27165000,8642691.27165000
2023-01-31,16541.77000000,23960.54000000,16499.01000000,23125.13000000,16541.77000000,23960.54000000,16499.01000000,23125.13000000,7977028.87801000,7977028.87801000
2022-12-31,17165.53000000,18387.95000000,16256.30000000,16542.40000000,17165.53000000,18387.95000000,16256.30000000,16542.40000000,5803833.88187000,5803833.88187000
2022-11-30,20490.74000000,21480.65000000,15476.00000000,17163.64000000,20490.74000000,21480.65000000,15476.00000000,17163.64000000,9127693.50906500,9127693.50906500
2022-10-31,19422.61000000,21085.00000000,18190.00000000,20490.74000000,19422.61000000,21085.00000000,18190.00000000,20490.74000000,7499121.81542000,7499121.81542000
2022-09-30,20048.44000000,22799.00000000,18125.98000000,19422.61000000,20048.44000000,22799.00000000,18125.98000000,19422.61000000,9838930.53657000,9838930.53657000
2022-08-31,23296.36000000,25211.32000000,19520.00000000,20050.02000000,23296.36000000,25211.32000000,19520.00000000,20050.02000000,5692462.41571000,5692462.41571000
2022-07-31,19942.21000000,24668.00000000,18781.00000000,23293.32000000,19942.21000000,24668.00000000,18781.00000000,23293.32000000,4983278.58810000,4983278.58810000
2022-06-30,31801.05000000,31982.97000000,17622.00000000,19942.21000000,31801.05000000,31982.97000000,17622.00000000,19942.21000000,2816058.47322600,2816058.47322600
2022-05-31,37630.80000000,40023.77000000,26700.00000000,31801.04000000,37630.80000000,40023.77000000,26700.00000000,31801.04000000,2387839.68080400,2387839.68080400
2022-04-30,45510.35000000,47444.11000000,37578.20000000,37630.80000000,45510.35000000,47444.11000000,37578.20000000,37630.80000000,1267655.68178000,1267655.68178000
2022-03-31,43160.00000000,48189.84000000,37155.00000000,45510.34000000,43160.00000000,48189.84000000,37155.00000000,45510.34000000,1501398.79591000,1501398.79591000
2022-02-28,38466.90000000,45821.00000000,34322.28000000,43160.00000000,38466.90000000,45821.00000000,34322.28000000,43160.00000000,1253514.21906000,1253514.21906000
2022-01-31,46216.93000000,47990.00000000,32917.17000000,38466.90000000,46216.93000000,47990.00000000,32917.17000000,38466.90000000,1279407.46572100,1279407.46572100
2021-12-31,56950.56000000,59053.55000000,42000.30000000,46216.93000000,56950.56000000,59053.55000000,42000.30000000,46216.93000000,1233745.52431800,1233745.52431800
2021-11-30,61299.81000000,69000.00000000,53256.64000000,56950.56000000,61299.81000000,69000.00000000,53256.64000000,56950.56000000,1291900.10524800,1291900.10524800
2021-10-31,43820.01000000,67000.00000000,43283.03000000,61299.80000000,43820.01000000,67000.00000000,43283.03000000,61299.80000000,1565556.29262300,1565556.29262300
2021-09-30,47100.89000000,52920.00000000,39600.00000000,43824.10000000,47100.89000000,52920.00000000,39600.00000000,43824.10000000,1527799.51076800,1527799.51076800
2021-08-31,41461.84000000,50500.00000000,37332.70000000,47100.89000000,41461.84000000,50500.00000000,37332.70000000,47100.89000000,1635402.87424500,1635402.87424500
2021-07-31,35045.00000000,42448.00000000,29278.00000000,41461.83000000,35045.00000000,42448.00000000,29278.00000000,41461.83000000,1778463.26483700,1778463.26483700
2021-06-30,37253.82000000,41330.00000000,28805.00000000,35045.00000000,37253.82000000,41330.00000000,28805.00000000,35045.00000000,2901775.30592300,2901775.30592300
2021-05-31,57697.25000000,59500.00000000,30000.00000000,37253.81000000,57697.25000000,59500.00000000,30000.00000000,37253.81000000,3536245.25657300,3536245.25657300
2021-04-30,58739.46000000,64854.00000000,46930.00000000,57694.27000000,58739.46000000,64854.00000000,46930.00000000,57694.27000000,1993468.93800700,1993468.93800700
2021-03-31,45134.11000000,61844.00000000,44950.53000000,58740.55000000,45134.11000000,61844.00000000,44950.53000000,58740.55000000,2098808.02743200,2098808.02743200
2021-02-28,33092.97000000,58352.80000000,32296.16000000,45135.66000000,33092.97000000,58352.80000000,32296.16000000,45135.66000000,2518242.14851700,2518242.14851700
2021-01-31,28923.63000000,41950.00000000,28130.00000000,33092.98000000,28923.63000000,41950.00000000,28130.00000000,33092.98000000,3440864.75001900,3440864.75001900
2020-12-31,19695.87000000,29300.00000000,17572.33000000,28923.63000000,19695.87000000,29300.00000000,17572.33000000,28923.63000000,2495281.85621700,2495281.85621700
2020-11-30,13791.00000000,19863.16000000,13195.05000000,19695.87000000,13791.00000000,19863.16000000,13195.05000000,19695.87000000,2707064.91116500,2707064.91116500
2020-10-31,10776.59000000,14100.00000000,10374.00000000,13791.00000000,10776.59000000,14100.00000000,10374.00000000,13791.00000000,1592634.41994600,1592634.41994600
2020-09-30,11649.51000000,12050.85000000,9825.00000000,10776.59000000,11649.51000000,12050.85000000,9825.00000000,10776.59000000,1730389.16017900,1730389.16017900
